踏まえる,踏まえる,動詞,母音動詞
踏み込む,踏み込む,動詞,子音動詞マ行
振り返る,振り返る,動詞,子音動詞ラ行
振り込む,振り込む,動詞,子音動詞マ行
振り向く,振り向く,動詞,子音動詞カ行
プリントする,する,動詞,サ変動詞
振る,振る,動詞,子音動詞ラ行
ふる,ふる,動詞,子音動詞ラ行
分析する,する,動詞,サ変動詞
分担する,する,動詞,サ変動詞
分別する,する,動詞,サ変動詞
分類する,する,動詞,サ変動詞
平均する,する,動詞,サ変動詞
へこむ,へこむ,動詞,子音動詞マ行
減らす,減らす,動詞,子音動詞サ行
変化する,する,動詞,サ変動詞
変更する,する,動詞,サ変動詞
変装する,する,動詞,サ変動詞
返品する,する,動詞,サ変動詞
放っておく,放っておく,動詞,子音動詞カ行
放り投げる,放り投げる,動詞,母音動詞
放る,放る,動詞,子音動詞ラ行
ほえる,ほえる,動詞,母音動詞
補強する,する,動詞,サ変動詞
保護する,する,動詞,サ変動詞
歩行する,する,動詞,サ変動詞
補充する,する,動詞,サ変動詞
募集する,する,動詞,サ変動詞
保障する,する,動詞,サ変動詞
干す,干す,動詞,子音動詞サ行
補足する,する,動詞,サ変動詞
ほどく,ほどく,動詞,子音動詞カ行
ほどける,ほどける,動詞,母音動詞
ほめる,ほめる,動詞,母音動詞
掘る,掘る,動詞,子音動詞ラ行
埋葬する,する,動詞,サ変動詞
任せる,任せる,動詞,母音動詞
巻く,巻く,動詞,子音動詞カ行
摩擦する,する,動詞,サ変動詞
交える,交える,動詞,母音動詞
混じる,混じる,動詞,子音動詞ラ行
増す,増す,動詞,子音動詞サ行
マスターする,する,動詞,サ変動詞
待ち合わせする,する,動詞,サ変動詞
間違う,間違う,動詞,子音動詞ワ行
待ち構える,待ち構える,動詞,母音動詞
マッサージする,する,動詞,サ変動詞
学ぶ,学ぶ,動詞,子音動詞バ行
招く,招く,動詞,子音動詞カ行
迷う,迷う,動詞,子音動詞ワ行
満足する,する,動詞,サ変動詞
マンネリ化する,する,動詞,サ変動詞
見上げる,見上げる,動詞,母音動詞
見える,見える,動詞,母音動詞
見かける,見かける,動詞,母音動詞
見込む,見込む,動詞,子音動詞マ行
見立てる,見立てる,動詞,母音動詞
満たない,満たない,形容詞,イ形容詞アウオ段
導く,導く,動詞,子音動詞カ行
見つめ合う,合う,動詞,子音動詞ワ行
見積もる,見積もる,動詞,子音動詞ラ行
満ちる,満ちる,動詞,母音動詞
認める,認める,動詞,母音動詞
