だ,だ,判定詞,
ねる,ねる,動詞,子音動詞ラ行
慣れる,慣れる,動詞,母音動詞
なれる,なれる,動詞,母音動詞
逃がす,逃がす,動詞,子音動詞サ行
にがす,にがす,動詞,子音動詞サ行
練る,練る,動詞,子音動詞ラ行
治す,治す,動詞,子音動詞サ行
なおす,なおす,動詞,子音動詞サ行
逃げる,逃げる,動詞,母音動詞
にげる,にげる,動詞,母音動詞
願う,願う,動詞,子音動詞ワ行
ねがう,ねがう,動詞,子音動詞ワ行
直す,直す,動詞,子音動詞サ行
煮やす,煮やす,動詞,子音動詞サ行
にやす,にやす,動詞,子音動詞サ行
粘る,粘る,動詞,子音動詞ラ行
ねばる,ねばる,動詞,子音動詞ラ行
治る,治る,動詞,子音動詞ラ行
なおる,なおる,動詞,子音動詞ラ行
煮る,煮る,動詞,母音動詞
にる,にる,動詞,母音動詞
眠る,眠る,動詞,子音動詞ラ行
ねむる,ねむる,動詞,子音動詞ラ行
直る,直る,動詞,子音動詞ラ行
似る,似る,動詞,母音動詞
載せる,載せる,動詞,母音動詞
のせる,のせる,動詞,母音動詞
流す,流す,動詞,子音動詞サ行
ながす,ながす,動詞,子音動詞サ行
苦る,苦る,動詞,子音動詞ラ行
にがる,にがる,動詞,子音動詞ラ行
乗せる,乗せる,動詞,母音動詞
眺める,眺める,動詞,母音動詞
ながめる,ながめる,動詞,母音動詞
握る,握る,動詞,子音動詞ラ行
にぎる,にぎる,動詞,子音動詞ラ行
延ばす,延ばす,動詞,子音動詞サ行
のばす,のばす,動詞,子音動詞サ行
流れる,流れる,動詞,母音動詞
ながれる,ながれる,動詞,母音動詞
憎む,憎む,動詞,子音動詞マ行
にくむ,にくむ,動詞,子音動詞マ行
伸ばす,伸ばす,動詞,子音動詞サ行
殴る,殴る,動詞,子音動詞ラ行
なぐる,なぐる,動詞,子音動詞ラ行
濁す,濁す,動詞,子音動詞サ行
にごす,にごす,動詞,子音動詞サ行
延びる,延びる,動詞,母音動詞
のびる,のびる,動詞,母音動詞
伸びる,伸びる,動詞,母音動詞
恥じらう,恥じらう,動詞,子音動詞ワ行
はじらう,はじらう,動詞,子音動詞ワ行
挟む,挟む,動詞,子音動詞マ行
はさむ,はさむ,動詞,子音動詞マ行
延べる,延べる,動詞,母音動詞
のべる,のべる,動詞,母音動詞
恥じる,恥じる,動詞,母音動詞
はじる,はじる,動詞,母音動詞
走る,走る,動詞,子音動詞ラ行
はしる,はしる,動詞,子音動詞ラ行
述べる,述べる,動詞,母音動詞
果たす,果たす,動詞,子音動詞サ行
はたす,はたす,動詞,子音動詞サ行
始まる,始まる,動詞,子音動詞ラ行
はじまる,はじまる,動詞,子音動詞ラ行
飲む,飲む,動詞,子音動詞マ行
のむ,のむ,動詞,子音動詞マ行
果てる,果てる,動詞,母音動詞
はてる,はてる,動詞,母音動詞
始める,始める,動詞,母音動詞
はじめる,はじめる,動詞,母音動詞
載る,載る,動詞,子音動詞ラ行
のる,のる,動詞,子音動詞ラ行
跳ねる,跳ねる,動詞,母音動詞
はねる,はねる,動詞,母音動詞
初める,初める,動詞,母音動詞
乗る,乗る,動詞,子音動詞ラ行
生やす,生やす,動詞,子音動詞サ行
はやす,はやす,動詞,子音動詞サ行
外す,外す,動詞,子音動詞サ行
はずす,はずす,動詞,子音動詞サ行
逃す,逃す,動詞,子音動詞サ行
のがす,のがす,動詞,子音動詞サ行
晴らす,晴らす,動詞,子音動詞サ行
はらす,はらす,動詞,子音動詞サ行
弾む,弾む,動詞,子音動詞マ行
はずむ,はずむ,動詞,子音動詞マ行
逃れる,逃れる,動詞,母音動詞
のがれる,のがれる,動詞,母音動詞
張る,張る,動詞,子音動詞ラ行
はる,はる,動詞,子音動詞ラ行
外れる,外れる,動詞,母音動詞
はずれる,はずれる,動詞,母音動詞
残す,残す,動詞,子音動詞サ行
のこす,のこす,動詞,子音動詞サ行
晴れる,晴れる,動詞,母音動詞
はれる,はれる,動詞,母音動詞
辱める,辱める,動詞,母音動詞
はずかしめる,はずかしめる,動詞,母音動詞
残る,残る,動詞,子音動詞ラ行
のこる,のこる,動詞,子音動詞ラ行
化かす,化かす,動詞,子音動詞サ行
ばかす,ばかす,動詞,子音動詞サ行
放す,放す,動詞,子音動詞サ行
はなす,はなす,動詞,子音動詞サ行
除く,除く,動詞,子音動詞カ行
のぞく,のぞく,動詞,子音動詞カ行
化ける,化ける,動詞,母音動詞
ばける,ばける,動詞,母音動詞
離す,離す,動詞,子音動詞サ行
望む,望む,動詞,子音動詞マ行
のぞむ,のぞむ,動詞,子音動詞マ行
はいる,はいる,動詞,母音動詞
話す,話す,動詞,子音動詞サ行
上す,上す,動詞,子音動詞サ行
のぼす,のぼす,動詞,子音動詞サ行
計らう,計らう,動詞,子音動詞ワ行
はからう,はからう,動詞,子音動詞ワ行
放つ,放つ,動詞,子音動詞タ行
はなつ,はなつ,動詞,子音動詞タ行
上せる,上せる,動詞,母音動詞
のぼせる,のぼせる,動詞,母音動詞
計る,計る,動詞,子音動詞ラ行
はかる,はかる,動詞,子音動詞ラ行
放れる,放れる,動詞,母音動詞
はなれる,はなれる,動詞,母音動詞
昇る,昇る,動詞,子音動詞ラ行
のぼる,のぼる,動詞,子音動詞ラ行
測る,測る,動詞,子音動詞ラ行
離れる,離れる,動詞,母音動詞
上る,上る,動詞,子音動詞ラ行
諮る,諮る,動詞,子音動詞ラ行
阻む,阻む,動詞,子音動詞マ行
はばむ,はばむ,動詞,子音動詞マ行
登る,登る,動詞,子音動詞ラ行
図る,図る,動詞,子音動詞ラ行
省く,省く,動詞,子音動詞カ行
はぶく,はぶく,動詞,子音動詞カ行
はえる,はえる,動詞,母音動詞
謀る,謀る,動詞,子音動詞ラ行
早まる,早まる,動詞,子音動詞ラ行
はやまる,はやまる,動詞,子音動詞ラ行
映える,映える,動詞,母音動詞
量る,量る,動詞,子音動詞ラ行
早める,早める,動詞,母音動詞
はやめる,はやめる,動詞,母音動詞
生える,生える,動詞,母音動詞
励ます,励ます,動詞,子音動詞サ行
はげます,はげます,動詞,子音動詞サ行
速める,速める,動詞,母音動詞
吐く,吐く,動詞,子音動詞カ行
はく,はく,動詞,子音動詞カ行
励む,励む,動詞,子音動詞マ行
はげむ,はげむ,動詞,子音動詞マ行
払う,払う,動詞,子音動詞ワ行
はらう,はらう,動詞,子音動詞ワ行
働く,働く,動詞,子音動詞カ行
運ぶ,運ぶ,動詞,子音動詞バ行
はこぶ,はこぶ,動詞,子音動詞バ行
冷える,冷える,動詞,母音動詞
ひえる,ひえる,動詞,母音動詞
掃く,掃く,動詞,子音動詞カ行
挟まる,挟まる,動詞,子音動詞ラ行
はさまる,はさまる,動詞,子音動詞ラ行
引く,引く,動詞,子音動詞カ行
ひく,ひく,動詞,子音動詞カ行
履く,履く,動詞,子音動詞カ行
狭まる,狭まる,動詞,子音動詞ラ行
弾く,弾く,動詞,子音動詞カ行
引ける,引ける,動詞,母音動詞
ひける,ひける,動詞,母音動詞
増える,増える,動詞,母音動詞
ふえる,ふえる,動詞,母音動詞
震う,震う,動詞,子音動詞ア行
ふるう,ふるう,動詞,子音動詞ア行
秘める,秘める,動詞,母音動詞
ひめる,ひめる,動詞,母音動詞
更かす,更かす,動詞,子音動詞サ行
ふかす,ふかす,動詞,子音動詞サ行
奮う,奮う,動詞,子音動詞ワ行
冷やかす,冷やかす,動詞,子音動詞サ行
ひやかす,ひやかす,動詞,子音動詞サ行
吹く,吹く,動詞,子音動詞カ行
ふく,ふく,動詞,子音動詞カ行
震える,震える,動詞,母音動詞
ふるえる,ふるえる,動詞,母音動詞
干る,干る,動詞,母音動詞
ひる,ひる,動詞,母音動詞
噴く,噴く,動詞,子音動詞カ行
古す,古す,動詞,子音動詞サ行
ふるす,ふるす,動詞,子音動詞サ行
秀でる,秀でる,動詞,母音動詞
ひいでる,ひいでる,動詞,母音動詞
更ける,更ける,動詞,母音動詞
ふける,ふける,動詞,子音動詞ラ行
減らす,減らす,動詞,子音動詞サ行
へらす,へらす,動詞,子音動詞サ行
控える,控える,動詞,母音動詞
ひかえる,ひかえる,動詞,母音動詞
老ける,老ける,動詞,母音動詞
経る,経る,動詞,母音動詞
へる,へる,動詞,子音動詞ラ行
光る,光る,動詞,子音動詞ラ行
ひかる,ひかる,動詞,子音動詞ラ行
伏す,伏す,動詞,子音動詞サ行
ふす,ふす,動詞,子音動詞サ行
減る,減る,動詞,子音動詞ラ行
率いる,率いる,動詞,母音動詞
ひきいる,ひきいる,動詞,母音動詞
伏せる,伏せる,動詞,母音動詞
ふせる,ふせる,動詞,子音動詞ラ行
隔たる,隔たる,動詞,子音動詞ラ行
へだたる,へだたる,動詞,子音動詞ラ行
低まる,低まる,動詞,子音動詞ラ行
ひくまる,ひくまる,動詞,子音動詞ラ行
踏まえる,踏まえる,動詞,母音動詞
ふまえる,ふまえる,動詞,母音動詞
隔てる,隔てる,動詞,母音動詞
へだてる,へだてる,動詞,母音動詞
低める,低める,動詞,母音動詞
ひくめる,ひくめる,動詞,母音動詞
踏む,踏む,動詞,子音動詞マ行
ふむ,ふむ,動詞,子音動詞マ行
干す,干す,動詞,子音動詞サ行
ほす,ほす,動詞,子音動詞サ行
侵す,侵す,動詞,子音動詞サ行
ひたす,ひたす,動詞,子音動詞サ行
殖やす,殖やす,動詞,子音動詞サ行
ふやす,ふやす,動詞,子音動詞サ行
褒める,褒める,動詞,母音動詞
ほめる,ほめる,動詞,母音動詞
浸る,浸る,動詞,子音動詞ラ行
ひたる,ひたる,動詞,子音動詞ラ行
増やす,増やす,動詞,子音動詞サ行
掘る,掘る,動詞,子音動詞ラ行
ほる,ほる,動詞,子音動詞ラ行
響く,響く,動詞,子音動詞カ行
ひびく,ひびく,動詞,子音動詞カ行
降る,降る,動詞,子音動詞ラ行
ふる,ふる,動詞,子音動詞ラ行
彫る,彫る,動詞,子音動詞ラ行
冷やす,冷やす,動詞,子音動詞サ行
ひやす,ひやす,動詞,子音動詞サ行
振る,振る,動詞,子音動詞ラ行
葬る,葬る,動詞,子音動詞ラ行
ほうむる,ほうむる,動詞,子音動詞ラ行
ひらく,ひらく,動詞,子音動詞カ行
振るう,振るう,動詞,子音動詞ワ行
誇る,誇る,動詞,子音動詞ラ行
ほこる,ほこる,動詞,子音動詞ラ行
ひらける,ひらける,動詞,母音動詞
触れる,触れる,動詞,母音動詞
ふれる,ふれる,動詞,母音動詞
細る,細る,動詞,子音動詞ラ行
ほそる,ほそる,動詞,子音動詞ラ行
翻す,翻す,動詞,子音動詞サ行
ひるがえす,ひるがえす,動詞,子音動詞サ行
深まる,深まる,動詞,子音動詞ラ行
ふかまる,ふかまる,動詞,子音動詞ラ行
欲する,欲する,動詞,サ変動詞
ほっする,ほっする,動詞,サ変動詞
翻る,翻る,動詞,子音動詞ラ行
ひるがえる,ひるがえる,動詞,子音動詞ラ行
深める,深める,動詞,母音動詞
ふかめる,ふかめる,動詞,母音動詞
施す,施す,動詞,子音動詞サ行
ほどこす,ほどこす,動詞,子音動詞サ行
拾う,拾う,動詞,子音動詞ワ行
ひろう,ひろう,動詞,子音動詞ワ行
含む,含む,動詞,子音動詞マ行
ふくむ,ふくむ,動詞,子音動詞マ行
滅びる,滅びる,動詞,母音動詞
ほろびる,ほろびる,動詞,母音動詞
広がる,広がる,動詞,子音動詞ラ行
ひろがる,ひろがる,動詞,子音動詞ラ行
含める,含める,動詞,母音動詞
ふくめる,ふくめる,動詞,母音動詞
滅ぼす,滅ぼす,動詞,子音動詞サ行
ほろぼす,ほろぼす,動詞,子音動詞サ行
広げる,広げる,動詞,母音動詞
ひろげる,ひろげる,動詞,母音動詞
膨らむ,膨らむ,動詞,子音動詞マ行
ふくらむ,ふくらむ,動詞,子音動詞マ行
舞う,舞う,動詞,子音動詞ワ行
まう,まう,動詞,子音動詞ワ行
広まる,広まる,動詞,子音動詞ラ行
ひろまる,ひろまる,動詞,子音動詞ラ行
膨れる,膨れる,動詞,母音動詞
ふくれる,ふくれる,動詞,母音動詞
負かす,負かす,動詞,子音動詞サ行
まかす,まかす,動詞,子音動詞サ行
広める,広める,動詞,母音動詞
ひろめる,ひろめる,動詞,母音動詞
防ぐ,防ぐ,動詞,子音動詞ガ行
ふせぐ,ふせぐ,動詞,子音動詞ガ行
曲がる,曲がる,動詞,子音動詞ラ行
まがる,まがる,動詞,子音動詞ラ行
殖える,殖える,動詞,母音動詞
太る,太る,動詞,子音動詞ラ行
ふとる,ふとる,動詞,子音動詞ラ行
巻く,巻く,動詞,子音動詞カ行
まく,まく,動詞,子音動詞カ行
負ける,負ける,動詞,母音動詞
まける,まける,動詞,母音動詞
学ぶ,学ぶ,動詞,子音動詞バ行
まなぶ,まなぶ,動詞,子音動詞バ行
蒸らす,蒸らす,動詞,子音動詞サ行
むらす,むらす,動詞,子音動詞サ行
曲げる,曲げる,動詞,母音動詞
まげる,まげる,動詞,母音動詞
免れる,免れる,動詞,母音動詞
まぬがれる,まぬがれる,動詞,母音動詞
群れる,群れる,動詞,母音動詞
むれる,むれる,動詞,母音動詞
交ざる,交ざる,動詞,子音動詞ラ行
まざる,まざる,動詞,子音動詞ラ行
招く,招く,動詞,子音動詞カ行
まねく,まねく,動詞,子音動詞カ行
蒸れる,蒸れる,動詞,母音動詞
混ざる,混ざる,動詞,子音動詞ラ行
守る,守る,動詞,子音動詞ラ行
まもる,まもる,動詞,子音動詞ラ行
迎える,迎える,動詞,母音動詞
むかえる,むかえる,動詞,母音動詞
交じる,交じる,動詞,子音動詞ラ行
まじる,まじる,動詞,子音動詞ラ行
迷う,迷う,動詞,子音動詞ワ行
まよう,まよう,動詞,子音動詞ワ行
報いる,報いる,動詞,母音動詞
むくいる,むくいる,動詞,母音動詞
混じる,混じる,動詞,子音動詞ラ行
丸める,丸める,動詞,母音動詞
まるめる,まるめる,動詞,母音動詞
結ぶ,結ぶ,動詞,子音動詞バ行
むすぶ,むすぶ,動詞,子音動詞バ行
増す,増す,動詞,子音動詞サ行
ます,ます,動詞,子音動詞サ行
回す,回す,動詞,子音動詞サ行
まわす,まわす,動詞,子音動詞サ行
群がる,群がる,動詞,子音動詞ラ行
むらがる,むらがる,動詞,子音動詞ラ行
混ぜる,混ぜる,動詞,母音動詞
まぜる,まぜる,動詞,母音動詞
回る,回る,動詞,子音動詞ラ行
まわる,まわる,動詞,子音動詞ラ行
召す,召す,動詞,子音動詞サ行
めす,めす,動詞,子音動詞サ行
交ぜる,交ぜる,動詞,母音動詞
見える,見える,動詞,母音動詞
みえる,みえる,動詞,母音動詞
恵む,恵む,動詞,子音動詞マ行
めぐむ,めぐむ,動詞,子音動詞マ行
参る,参る,動詞,子音動詞ラ行
まいる,まいる,動詞,子音動詞ラ行
見せる,見せる,動詞,母音動詞
みせる,みせる,動詞,母音動詞
巡る,巡る,動詞,子音動詞ラ行
めぐる,めぐる,動詞,子音動詞ラ行
任す,任す,動詞,子音動詞サ行
満たす,満たす,動詞,子音動詞サ行
みたす,みたす,動詞,子音動詞サ行
燃える,燃える,動詞,母音動詞
もえる,もえる,動詞,母音動詞
任せる,任せる,動詞,母音動詞
まかせる,まかせる,動詞,母音動詞
満ちる,満ちる,動詞,母音動詞
みちる,みちる,動詞,母音動詞
持つ,持つ,動詞,子音動詞タ行
もつ,もつ,動詞,子音動詞タ行
賄う,賄う,動詞,子音動詞ワ行
まかなう,まかなう,動詞,子音動詞ワ行
診る,診る,動詞,母音動詞
みる,みる,動詞,母音動詞
燃やす,燃やす,動詞,子音動詞サ行
もやす,もやす,動詞,子音動詞サ行
待つ,待つ,動詞,子音動詞タ行
まつ,まつ,動詞,子音動詞タ行
見る,見る,動詞,母音動詞
漏らす,漏らす,動詞,子音動詞サ行
もらす,もらす,動詞,子音動詞サ行
紛らす,紛らす,動詞,子音動詞サ行
まぎらす,まぎらす,動詞,子音動詞サ行
磨く,磨く,動詞,子音動詞カ行
みがく,みがく,動詞,子音動詞カ行
もる,もる,動詞,子音動詞ラ行
紛らわす,紛らわす,動詞,子音動詞サ行
まぎらわす,まぎらわす,動詞,子音動詞サ行
乱す,乱す,動詞,子音動詞サ行
みだす,みだす,動詞,子音動詞サ行
漏る,漏る,動詞,子音動詞ラ行
紛れる,紛れる,動詞,母音動詞
まぎれる,まぎれる,動詞,母音動詞
乱れる,乱れる,動詞,母音動詞
みだれる,みだれる,動詞,母音動詞
漏れる,漏れる,動詞,母音動詞
もれる,もれる,動詞,母音動詞
勝る,勝る,動詞,子音動詞ラ行
まさる,まさる,動詞,子音動詞ラ行
導く,導く,動詞,子音動詞カ行
みちびく,みちびく,動詞,子音動詞カ行
設ける,設ける,動詞,母音動詞
もうける,もうける,動詞,母音動詞
交う,交う,動詞,子音動詞ワ行
まじう,まじう,動詞,子音動詞ワ行
認める,認める,動詞,母音動詞
みとめる,みとめる,動詞,母音動詞
申す,申す,動詞,子音動詞サ行
もうす,もうす,動詞,子音動詞サ行
交える,交える,動詞,母音動詞
まじえる,まじえる,動詞,母音動詞
実る,実る,動詞,子音動詞ラ行
みのる,みのる,動詞,子音動詞ラ行
潜る,潜る,動詞,子音動詞ラ行
もぐる,もぐる,動詞,子音動詞ラ行
交わる,交わる,動詞,子音動詞ラ行
まじわる,まじわる,動詞,子音動詞ラ行
向かう,向かう,動詞,子音動詞ワ行
むかう,むかう,動詞,子音動詞ワ行
用いる,用いる,動詞,母音動詞
もちいる,もちいる,動詞,母音動詞
瞬く,瞬く,動詞,子音動詞カ行
またたく,またたく,動詞,子音動詞カ行
向く,向く,動詞,子音動詞カ行
むく,むく,動詞,子音動詞カ行
求める,求める,動詞,母音動詞
もとめる,もとめる,動詞,母音動詞
祭る,祭る,動詞,子音動詞ラ行
まつる,まつる,動詞,子音動詞ラ行
向ける,向ける,動詞,母音動詞
むける,むける,動詞,母音動詞
戻す,戻す,動詞,子音動詞サ行
もどす,もどす,動詞,子音動詞サ行
惑う,惑う,動詞,子音動詞ワ行
まどう,まどう,動詞,子音動詞ワ行
蒸す,蒸す,動詞,子音動詞サ行
むす,むす,動詞,子音動詞サ行
戻る,戻る,動詞,子音動詞ラ行
もどる,もどる,動詞,子音動詞ラ行
燃す,燃す,動詞,子音動詞サ行
揺らぐ,揺らぐ,動詞,子音動詞ガ行
ゆらぐ,ゆらぐ,動詞,子音動詞ガ行
分かつ,分かつ,動詞,子音動詞タ行
わかつ,わかつ,動詞,子音動詞タ行
催す,催す,動詞,子音動詞サ行
もよおす,もよおす,動詞,子音動詞サ行
揺れる,揺れる,動詞,母音動詞
ゆれる,ゆれる,動詞,母音動詞
ゆする,ゆする,動詞,子音動詞ラ行
分かる,分かる,動詞,子音動詞ラ行
わかる,わかる,動詞,子音動詞ラ行
焼く,焼く,動詞,子音動詞カ行
やく,やく,動詞,子音動詞カ行
揺るぐ,揺るぐ,動詞,子音動詞ガ行
ゆるぐ,ゆるぐ,動詞,子音動詞ガ行
分かれる,分かれる,動詞,母音動詞
わかれる,わかれる,動詞,母音動詞
焼ける,焼ける,動詞,母音動詞
やける,やける,動詞,母音動詞
揺る,揺る,動詞,子音動詞ラ行
ゆる,ゆる,動詞,子音動詞ラ行
沸く,沸く,動詞,子音動詞カ行
わく,わく,動詞,子音動詞カ行
病む,病む,動詞,子音動詞マ行
やむ,やむ,動詞,子音動詞マ行
結わえる,結わえる,動詞,母音動詞
ゆわえる,ゆわえる,動詞,母音動詞
分ける,分ける,動詞,母音動詞
わける,わける,動詞,母音動詞
辞める,辞める,動詞,母音動詞
やめる,やめる,動詞,母音動詞
譲る,譲る,動詞,子音動詞ラ行
ゆずる,ゆずる,動詞,子音動詞ラ行
割る,割る,動詞,子音動詞ラ行
わる,わる,動詞,子音動詞ラ行
養う,養う,動詞,子音動詞ワ行
やしなう,やしなう,動詞,子音動詞ワ行
許す,許す,動詞,子音動詞サ行
ゆるす,ゆるす,動詞,子音動詞サ行
割れる,割れる,動詞,母音動詞
われる,われる,動詞,母音動詞
休まる,休まる,動詞,子音動詞ラ行
やすまる,やすまる,動詞,子音動詞ラ行
緩む,緩む,動詞,子音動詞マ行
ゆるむ,ゆるむ,動詞,子音動詞マ行
別れる,別れる,動詞,母音動詞
休む,休む,動詞,子音動詞マ行
やすむ,やすむ,動詞,子音動詞マ行
酔う,酔う,動詞,子音動詞ワ行
よう,よう,動詞,子音動詞ワ行
忘れる,忘れる,動詞,母音動詞
わすれる,わすれる,動詞,母音動詞
休める,休める,動詞,母音動詞
やすめる,やすめる,動詞,母音動詞
寄せる,寄せる,動詞,母音動詞
よせる,よせる,動詞,母音動詞
患う,患う,動詞,子音動詞ワ行
わずらう,わずらう,動詞,子音動詞ワ行
雇う,雇う,動詞,子音動詞ワ行
やとう,やとう,動詞,子音動詞ワ行
呼ぶ,呼ぶ,動詞,子音動詞バ行
よぶ,よぶ,動詞,子音動詞バ行
煩う,煩う,動詞,子音動詞ワ行
宿す,宿す,動詞,子音動詞サ行
やどす,やどす,動詞,子音動詞サ行
詠む,詠む,動詞,子音動詞マ行
よむ,よむ,動詞,子音動詞マ行
煩わす,煩わす,動詞,子音動詞サ行
わずらわす,わずらわす,動詞,子音動詞サ行
宿る,宿る,動詞,子音動詞ラ行
やどる,やどる,動詞,子音動詞ラ行
読む,読む,動詞,子音動詞マ行
渡す,渡す,動詞,子音動詞サ行
わたす,わたす,動詞,子音動詞サ行
破る,破る,動詞,子音動詞ラ行
やぶる,やぶる,動詞,子音動詞ラ行
寄る,寄る,動詞,子音動詞ラ行
よる,よる,動詞,子音動詞ラ行
渡る,渡る,動詞,子音動詞ラ行
わたる,わたる,動詞,子音動詞ラ行
破れる,破れる,動詞,母音動詞
やぶれる,やぶれる,動詞,母音動詞
因る,因る,動詞,子音動詞ラ行
笑う,笑う,動詞,子音動詞ワ行
わらう,わらう,動詞,子音動詞ワ行
敗れる,敗れる,動詞,母音動詞
よごす,よごす,動詞,子音動詞サ行
和らぐ,和らぐ,動詞,子音動詞ガ行
やわらぐ,やわらぐ,動詞,子音動詞ガ行
よごれる,よごれる,動詞,母音動詞
和らげる,和らげる,動詞,母音動詞
やわらげる,やわらげる,動詞,母音動詞
装う,装う,動詞,子音動詞ワ行
よそおう,よそおう,動詞,子音動詞ワ行
結う,結う,動詞,子音動詞ワ行
ゆう,ゆう,動詞,子音動詞ワ行
喜ぶ,喜ぶ,動詞,子音動詞バ行
よろこぶ,よろこぶ,動詞,子音動詞バ行
ゆく,いく,動詞,子音動詞カ行促音便形
弱まる,弱まる,動詞,子音動詞ラ行
よわまる,よわまる,動詞,子音動詞ラ行
弱める,弱める,動詞,母音動詞
よわめる,よわめる,動詞,母音動詞
揺さぶる,揺さぶる,動詞,子音動詞ラ行
ゆさぶる,ゆさぶる,動詞,子音動詞ラ行
弱る,弱る,動詞,子音動詞ラ行
よわる,よわる,動詞,子音動詞ラ行
揺すぶる,揺すぶる,動詞,子音動詞ラ行
ゆすぶる,ゆすぶる,動詞,子音動詞ラ行
利く,利く,動詞,子音動詞カ行
りく,きく,動詞,子音動詞カ行
揺する,揺する,動詞,子音動詞ラ行
ゆする,ゆする,動詞,子音動詞ラ行
沸かす,沸かす,動詞,子音動詞サ行
わかす,わかす,動詞,子音動詞サ行
愛くるしい,愛くるしい,形容詞,イ形容詞イ段
あいくるしい,あいくるしい,形容詞,イ形容詞イ段
愛らしい,愛らしい,形容詞,イ形容詞イ段
あいらしい,あいらしい,形容詞,イ形容詞イ段
敢え無い,敢え無い,形容詞,イ形容詞アウオ段
あえない,あえない,形容詞,イ形容詞アウオ段
青い,青い,形容詞,イ形容詞アウオ段
あおい,あおい,形容詞,イ形容詞アウオ段
青臭い,青臭い,形容詞,イ形容詞アウオ段
あおくさい,あおくさい,形容詞,イ形容詞アウオ段
青白い,青白い,形容詞,イ形容詞アウオ段
あおじろい,あおじろい,形容詞,イ形容詞アウオ段
赤い,赤い,形容詞,イ形容詞アウオ段
あかい,あかい,形容詞,イ形容詞アウオ段
明るい,明るい,形容詞,イ形容詞アウオ段
あかるい,あかるい,形容詞,イ形容詞アウオ段
飽き足りない,飽き足りない,形容詞,イ形容詞アウオ段
あきたりない,あきたりない,形容詞,イ形容詞アウオ段
飽きっぽい,飽きっぽい,形容詞,形容詞
あきっぽい,あきっぽい,形容詞,形容詞
浅い,浅い,形容詞,イ形容詞アウオ段
あさい,あさい,形容詞,イ形容詞アウオ段
浅ましい,浅ましい,形容詞,イ形容詞イ段
あさましい,あさましい,形容詞,イ形容詞イ段
味気無い,味気無い,形容詞,イ形容詞アウオ段
あじけない,あじけない,形容詞,イ形容詞アウオ段
吾妻しい,吾妻しい,形容詞,形容詞
あずましい,あずましい,形容詞,形容詞
暖かい,暖かい,形容詞,イ形容詞アウオ段
あたたかい,あたたかい,形容詞,イ形容詞アウオ段
新しい,新しい,形容詞,イ形容詞イ段
あたらしい,あたらしい,形容詞,イ形容詞イ段
厚い,厚い,形容詞,イ形容詞アウオ段
熱い,熱い,形容詞,イ形容詞アウオ段
暑い,暑い,形容詞,イ形容詞アウオ段
あつい,あつい,形容詞,イ形容詞アウオ段
厚かましい,厚かましい,形容詞,イ形容詞イ段
あつかましい,あつかましい,形容詞,イ形容詞イ段
暖かい,暖かい,形容詞,イ形容詞アウオ段
あたたかい,あたたかい,形容詞,イ形容詞アウオ段
跡形ない,跡形ない,形容詞,形容詞
あとかたない,あとかたない,形容詞,形容詞
あばばい,あばばい,形容詞,形容詞
危ない,危ない,形容詞,イ形容詞アウオ段
あぶない,あぶない,形容詞,イ形容詞アウオ段
危なっかしい,危なっかしい,形容詞,イ形容詞イ段
あぶなっかしい,あぶなっかしい,形容詞,イ形容詞イ段
甘い,甘い,形容詞,イ形容詞アウオ段
あまい,あまい,形容詞,イ形容詞アウオ段
甘酸っぱい,甘酸っぱい,形容詞,イ形容詞アウオ段
あまずっぱい,あまずっぱい,形容詞,イ形容詞アウオ段
危うい,危うい,形容詞,イ形容詞アウオ段
あやうい,あやうい,形容詞,イ形容詞アウオ段
妖しい,妖しい,形容詞,イ形容詞イ段
あやしい,あやしい,形容詞,イ形容詞イ段
荒々しい,荒々しい,形容詞,イ形容詞イ段
あらあらしい,あらあらしい,形容詞,イ形容詞イ段
粗い,粗い,形容詞,イ形容詞アウオ段
あらい,あらい,形容詞,イ形容詞アウオ段
あられもない,あられもない,形容詞,形容詞
有り難い,有り難い,形容詞,イ形容詞アウオ段
ありがたい,ありがたい,形容詞,イ形容詞アウオ段
慌慌しい,慌慌しい,形容詞,形容詞
あわあわしい,あわあわしい,形容詞,形容詞
淡い,淡い,形容詞,イ形容詞アウオ段
あわい,あわい,形容詞,イ形容詞アウオ段
慌ただしい,慌ただしい,形容詞,イ形容詞イ段
あわただしい,あわただしい,形容詞,イ形容詞イ段
良い,良い,形容詞,イ形容詞イ段
いい,いい,形容詞,イ形容詞イ段
いかい,いかい,形容詞,形容詞
如何わしい,如何わしい,形容詞,イ形容詞イ段
いかがわしい,いかがわしい,形容詞,イ形容詞イ段
いぎたない,いぎたない,形容詞,形容詞
寝穢い,寝穢い,形容詞,形容詞
潔い,潔い,形容詞,イ形容詞アウオ段
いさぎよい,いさぎよい,形容詞,イ形容詞アウオ段
勇ましい,勇ましい,形容詞,イ形容詞イ段
いさましい,いさましい,形容詞,イ形容詞イ段
いじらしい,いじらしい,形容詞,イ形容詞イ段
いずい,いずい,形容詞,形容詞
忙しい,忙しい,形容詞,イ形容詞イ段
いそがしい,いそがしい,形容詞,イ形容詞イ段
痛い,痛い,形容詞,イ形容詞アウオ段
いたい,いたい,形容詞,イ形容詞アウオ段
痛ましい,痛ましい,形容詞,イ形容詞イ段
いたましい,いたましい,形容詞,イ形容詞イ段
著しい,著しい,形容詞,イ形容詞イ段
いちじるしい,いちじるしい,形容詞,イ形容詞イ段
