だ,だ,判定詞,
うるおう,うるおう,動詞,子音動詞ワ行
下りる,下りる,動詞,母音動詞
失う,失う,動詞,子音動詞ワ行
うしなう,うしなう,動詞,子音動詞ワ行
愁える,愁える,動詞,母音動詞
うれえる,うれえる,動詞,母音動詞
織る,織る,動詞,子音動詞ラ行
おる,おる,動詞,子音動詞ラ行
薄まる,薄まる,動詞,子音動詞ラ行
うすまる,うすまる,動詞,子音動詞ラ行
憂える,憂える,動詞,母音動詞
折れる,折れる,動詞,母音動詞
おれる,おれる,動詞,母音動詞
薄める,薄める,動詞,母音動詞
うすめる,うすめる,動詞,母音動詞
笑む,笑む,動詞,子音動詞マ行
えむ,えむ,動詞,子音動詞マ行
下ろす,下ろす,動詞,子音動詞サ行
おろす,おろす,動詞,子音動詞サ行
薄らぐ,薄らぐ,動詞,子音動詞ガ行
うすらぐ,うすらぐ,動詞,子音動詞ガ行
える,える,動詞,母音動詞
降ろす,降ろす,動詞,子音動詞サ行
薄れる,薄れる,動詞,母音動詞
うすれる,うすれる,動詞,母音動詞
描く,描く,動詞,子音動詞カ行
えがく,えがく,動詞,子音動詞カ行
終わる,終わる,動詞,子音動詞ラ行
おわる,おわる,動詞,子音動詞ラ行
潤す,潤す,動詞,子音動詞サ行
うるおす,うるおす,動詞,子音動詞サ行
選ぶ,選ぶ,動詞,子音動詞バ行
えらぶ,えらぶ,動詞,子音動詞バ行
覆う,覆う,動詞,子音動詞ワ行
おおう,おう,動詞,子音動詞ワ行
歌う,歌う,動詞,子音動詞ワ行
うたう,うたう,動詞,子音動詞ワ行
老いる,老いる,動詞,母音動詞
おいる,おいる,動詞,母音動詞
浸す,浸す,動詞,子音動詞サ行
おかす,おかす,動詞,子音動詞サ行
謡う,謡う,動詞,子音動詞ワ行
生う,生う,動詞,子音動詞ア行
おう,おう,動詞,子音動詞ア行
犯す,犯す,動詞,子音動詞サ行
疑う,疑う,動詞,子音動詞ワ行
うたがう,うたがう,動詞,子音動詞ワ行
追う,追う,動詞,子音動詞ワ行
冒す,冒す,動詞,子音動詞サ行
映す,映す,動詞,子音動詞サ行
うつす,うつす,動詞,子音動詞サ行
負う,負う,動詞,子音動詞ワ行
拝む,拝む,動詞,子音動詞マ行
おがむ,おがむ,動詞,子音動詞マ行
移す,移す,動詞,子音動詞サ行
終える,終える,動詞,母音動詞
おえる,おえる,動詞,母音動詞
補う,補う,動詞,子音動詞ワ行
おぎなう,おぎなう,動詞,子音動詞ワ行
写す,写す,動詞,子音動詞サ行
起きる,起きる,動詞,母音動詞
おきる,おきる,動詞,母音動詞
遅らす,遅らす,動詞,子音動詞サ行
おくらす,おくらす,動詞,子音動詞サ行
映る,映る,動詞,子音動詞ラ行
うつる,うつる,動詞,子音動詞ラ行
置く,置く,動詞,子音動詞カ行
おく,おく,動詞,子音動詞カ行
送る,送る,動詞,子音動詞ラ行
おくる,おくる,動詞,子音動詞ラ行
移る,移る,動詞,子音動詞ラ行
起こす,起こす,動詞,子音動詞サ行
おこす,おこす,動詞,子音動詞サ行
贈る,贈る,動詞,子音動詞ラ行
写る,写る,動詞,子音動詞ラ行
起こる,起こる,動詞,子音動詞ラ行
おこる,おこる,動詞,子音動詞ラ行
後れる,後れる,動詞,母音動詞
おくれる,おくれる,動詞,母音動詞
訴える,訴える,動詞,母音動詞
うったえる,うったえる,動詞,母音動詞
押さえる,押さえる,動詞,母音動詞
おさえる,おさえる,動詞,母音動詞
遅れる,遅れる,動詞,母音動詞
疎む,疎む,動詞,子音動詞マ行
うとむ,うとむ,動詞,子音動詞マ行
惜しむ,惜しむ,動詞,子音動詞マ行
おしむ,おしむ,動詞,子音動詞マ行
興す,興す,動詞,子音動詞サ行
促す,促す,動詞,子音動詞サ行
うながす,うながす,動詞,子音動詞サ行
押す,押す,動詞,子音動詞サ行
おす,おす,動詞,子音動詞サ行
奪う,奪う,動詞,子音動詞ワ行
うばう,うばう,動詞,子音動詞ワ行
推す,推す,動詞,子音動詞サ行
興る,興る,動詞,子音動詞ラ行
敬う,敬う,動詞,子音動詞ワ行
うやまう,うやまう,動詞,子音動詞ワ行
落ちる,落ちる,動詞,母音動詞
おちる,おちる,動詞,母音動詞
怠る,怠る,動詞,子音動詞ラ行
おこたる,おこたる,動詞,子音動詞ラ行
恨む,恨む,動詞,子音動詞マ行
うらむ,うらむ,動詞,子音動詞マ行
落とす,落とす,動詞,子音動詞サ行
おとす,おとす,動詞,子音動詞サ行
行う,行う,動詞,子音動詞ワ行
おこなう,おこなう,動詞,子音動詞ワ行
占う,占う,動詞,子音動詞ワ行
うらなう,うらなう,動詞,子音動詞ワ行
帯びる,帯びる,動詞,母音動詞
おびる,おびる,動詞,母音動詞
抑える,抑える,動詞,母音動詞
治まる,治まる,動詞,子音動詞ラ行
おさまる,おさまる,動詞,子音動詞ラ行
脅かす,脅かす,動詞,子音動詞サ行
おびやかす,おびやかす,動詞,子音動詞サ行
駆ける,駆ける,動詞,母音動詞
かける,かける,動詞,母音動詞
収まる,収まる,動詞,子音動詞ラ行
覚える,覚える,動詞,母音動詞
おぼえる,おぼえる,動詞,母音動詞
懸ける,懸ける,動詞,母音動詞
修まる,修まる,動詞,母音動詞
思う,思う,動詞,子音動詞ワ行
おもう,おもう,動詞,子音動詞ワ行
貸す,貸す,動詞,子音動詞サ行
かす,かす,動詞,子音動詞サ行
鎮まる,鎮まる,動詞,子音動詞ラ行
赴く,赴く,動詞,子音動詞カ行
おもむく,おもむく,動詞,子音動詞カ行
勝つ,勝つ,動詞,子音動詞タ行
かつ,かつ,動詞,子音動詞タ行
納まる,納まる,動詞,子音動詞ラ行
泳ぐ,泳ぐ,動詞,子音動詞ガ行
およぐ,およぐ,動詞,子音動詞ガ行
兼ねる,兼ねる,動詞,母音動詞
かねる,かねる,動詞,母音動詞
治める,治める,動詞,母音動詞
おさめる,おさめる,動詞,母音動詞
及ぶ,及ぶ,動詞,子音動詞バ行
およぶ,およぶ,動詞,子音動詞バ行
枯らす,枯らす,動詞,子音動詞サ行
からす,からす,動詞,子音動詞サ行
収める,収める,動詞,母音動詞
及ぼす,及ぼす,動詞,子音動詞サ行
およぼす,およぼす,動詞,子音動詞サ行
借りる,借りる,動詞,母音動詞
かりる,かりる,動詞,母音動詞
修める,修める,動詞,母音動詞
卸す,卸す,動詞,子音動詞サ行
刈る,刈る,動詞,子音動詞ラ行
かる,かる,動詞,子音動詞ラ行
納める,納める,動詞,母音動詞
飼う,飼う,動詞,子音動詞ワ行
かう,かう,動詞,子音動詞ワ行
駆る,駆る,動詞,子音動詞ラ行
教える,教える,動詞,母音動詞
おしえる,おしえる,動詞,母音動詞
買う,買う,動詞,子音動詞ワ行
狩る,狩る,動詞,子音動詞ラ行
襲う,襲う,動詞,子音動詞ワ行
おそう,おす,動詞,子音動詞サ行
替える,替える,動詞,母音動詞
かえる,かえる,動詞,母音動詞
枯れる,枯れる,動詞,母音動詞
かれる,かれる,動詞,母音動詞
恐れる,恐れる,動詞,母音動詞
おそれる,おそれる,動詞,母音動詞
換える,換える,動詞,母音動詞
交わす,交わす,動詞,子音動詞サ行
かわす,かわす,動詞,子音動詞サ行
教わる,教わる,動詞,子音動詞ラ行
おそわる,おそわる,動詞,子音動詞ラ行
代える,代える,動詞,母音動詞
換わる,換わる,動詞,子音動詞ラ行
かわる,かわる,動詞,子音動詞ラ行
陥る,陥る,動詞,子音動詞ラ行
おちいる,おちいる,動詞,子音動詞ラ行
変える,変える,動詞,母音動詞
替わる,替わる,動詞,子音動詞ラ行
劣る,劣る,動詞,子音動詞ラ行
おとる,おとる,動詞,子音動詞ラ行
架かる,架かる,動詞,子音動詞ラ行
かかる,かかる,動詞,子音動詞ラ行
代わる,代わる,動詞,子音動詞ラ行
おどかす,おどかす,動詞,子音動詞サ行
掛かる,掛かる,動詞,子音動詞ラ行
変わる,変わる,動詞,子音動詞ラ行
脅す,脅す,動詞,子音動詞サ行
おどす,おどす,動詞,子音動詞サ行
懸かる,懸かる,動詞,子音動詞ラ行
返す,返す,動詞,子音動詞サ行
かえす,かえす,動詞,子音動詞サ行
躍る,躍る,動詞,子音動詞ラ行
おどる,おどる,動詞,子音動詞ラ行
乾く,乾く,動詞,子音動詞カ行
かわく,かわく,動詞,子音動詞カ行
帰る,帰る,動詞,子音動詞ラ行
踊る,踊る,動詞,子音動詞ラ行
傾く,傾く,動詞,子音動詞カ行
返る,返る,動詞,子音動詞ラ行
陥れる,陥れる,動詞,母音動詞
おとしいれる,おとしいれる,動詞,母音動詞
欠く,欠く,動詞,子音動詞カ行
顧みる,顧みる,動詞,母音動詞
かえりみる,かえりみる,動詞,母音動詞
訪れる,訪れる,動詞,母音動詞
おとずれる,おとずれる,動詞,母音動詞
書く,書く,動詞,子音動詞カ行
かく,かく,動詞,子音動詞カ行
省みる,省みる,動詞,母音動詞
衰える,衰える,動詞,母音動詞
おとろえる,おとろえる,動詞,母音動詞
欠ける,欠ける,動詞,母音動詞
薫る,薫る,動詞,子音動詞ラ行
かおる,かおる,動詞,子音動詞ラ行
驚かす,驚かす,動詞,子音動詞サ行
おどろかす,おどろかす,動詞,子音動詞サ行
架ける,架ける,動詞,母音動詞
